Player,Pokémon,Sim_Score,#,HP,Attack,Defense,Sp. Attack,Sp. Defense,Speed,HP_scale,Attack_scale,Defense_scale,Sp. Attack_scale,Sp. Defense_scale,Speed_scale,TOI_GP,xEVO_GAR,xEVD_GAR,xPPO_GAR,xSHD_GAR,Pens_GAR,TOI_GP_scale,xEVO_GAR_scale,xEVD_GAR_scale,xPPO_GAR_scale,xSHD_GAR_scale,Pens_GAR_scale
Akito Hirose,Nidorina,70.1,30,70,62,67,55,55,56,0.625498008,0.38247012,0.533864542,0.388446215,0.344621514,0.412350598,17.45714286,-1.3,-0.3,0,-0.3,0,0.675739645,0.191715976,0.378106509,0.461538462,0.214792899,0.392307692
Alec Martinez,Jumpluff,59.1,189,75,55,70,55,85,110,0.685258964,0.304780876,0.571713147,0.388446215,0.772908367,0.948207171,19.22727273,-2.5,1.5,-0.1,0.6,1,0.8,0.099408284,0.718343195,0.237869822,0.831360947,0.761538462
Alec Regula,Clefairy,79.7,35,70,45,48,60,65,35,0.625498008,0.173306773,0.241035857,0.458167331,0.488047809,0.139442231,16.6,-0.5,-0.3,0,0,-0.3,0.591715976,0.303550296,0.378106509,0.461538462,0.463905325,0.253254438
Aleksander Barkov,Mew,87.7,151,100,100,100,100,100,100,0.922310757,0.860557769,0.876494024,0.878486056,0.892430279,0.896414343,21.225,3.8,4.3,5.5,1.3,2.2,0.915976331,0.737278107,0.924852071,0.973964497,0.90887574,0.932544379
Aleksi Heponiemi,Bulbasaur,77.8,1,45,49,49,65,65,45,0.217131474,0.221115538,0.250996016,0.539840637,0.488047809,0.260956175,8.59,-0.7,-0.8,0,0,-0.1,0.021301775,0.275739645,0.297633136,0.461538462,0.463905325,0.340828402
Alex Alexeyev,Mantine,62.9,226,65,40,70,80,140,70,0.549800797,0.12749004,0.571713147,0.695219124,0.988047809,0.573705179,16.453125,-3.9,1.2,0,0.4,0.2,0.570414201,0.035502959,0.666272189,0.461538462,0.795266272,0.480473373
Alex Barabanov,Weepinbell,60.8,70,65,90,50,85,45,55,0.549800797,0.770916335,0.28685259,0.752988048,0.195219124,0.38247012,18.05294118,2.9,-1.9,1.2,0,0.1,0.720710059,0.683431953,0.175739645,0.818934911,0.463905325,0.437278107
Alex Belzile,Kabuto,57.5,140,30,80,90,55,45,55,0.041832669,0.625498008,0.800796813,0.388446215,0.195219124,0.38247012,12.13225806,4.2,1,-0.1,-0.5,0.5,0.215384615,0.758579882,0.626627219,0.237869822,0.180473373,0.595266272
Alex Carrier,Jumpluff,49.1,189,75,55,70,55,85,110,0.685258964,0.304780876,0.571713147,0.388446215,0.772908367,0.948207171,17.88837209,-0.1,0.7,-0.3,1.1,0.5,0.712426036,0.371005917,0.575147929,0.159763314,0.889349112,0.595266272
Alex Chiasson,Magnemite,77,81,25,35,70,95,55,45,0.021912351,0.091633466,0.571713147,0.832669323,0.344621514,0.260956175,12.07,-1.4,0.6,1.9,0,-0.4,0.20591716,0.184023669,0.555621302,0.863313609,0.463905325,0.219526627
Alex Debrincat,Jynx,44.5,124,65,50,35,115,95,95,0.549800797,0.249003984,0.099601594,0.956175299,0.844621514,0.848605578,19.00609756,-1.5,-5.5,4.5,0,3,0.785798817,0.170414201,0.040828402,0.958579882,0.463905325,0.972781065
Alex Edler,Drowzee,68.8,96,60,48,45,43,90,42,0.446215139,0.211155378,0.211155378,0.243027888,0.812749004,0.22310757,14.784375,-0.4,-0.7,0,1.4,-0.8,0.430769231,0.314201183,0.315976331,0.461538462,0.918343195,0.120118343
Alex Galchenyuk,Bulbasaur,72.5,1,45,49,49,65,65,45,0.217131474,0.221115538,0.250996016,0.539840637,0.488047809,0.260956175,7.109090909,-0.1,-1,0,0,-0.4,0.004733728,0.371005917,0.266272189,0.461538462,0.463905325,0.219526627
Alex Goligoski,Heracross,53,214,80,125,75,40,95,85,0.747011952,0.960159363,0.631474104,0.199203187,0.844621514,0.731075697,17.6673913,3.7,0.8,-0.2,0.5,0,0.695857988,0.732544379,0.593491124,0.18816568,0.815384615,0.392307692
Alex Holtz,Magnemite,77.2,81,25,35,70,95,55,45,0.021912351,0.091633466,0.571713147,0.832669323,0.344621514,0.260956175,10.26842105,-1.8,-0.1,0.5,0,-0.1,0.087573964,0.14556213,0.418343195,0.74556213,0.463905325,0.340828402
Alex Iafallo,Venusaur,74.5,3,80,82,83,100,100,80,0.747011952,0.675298805,0.741035857,0.878486056,0.892430279,0.671314741,16.3,1.5,1.1,4.8,1.8,0.6,0.555029586,0.572781065,0.644970414,0.962721893,0.952071006,0.638461538
Alex Kerfoot,Mantine,46.6,226,65,40,70,80,140,70,0.549800797,0.12749004,0.571713147,0.695219124,0.988047809,0.573705179,14.61829268,-3.6,4.9,0.2,1.4,1,0.413017751,0.050295858,0.955029586,0.70295858,0.918343195,0.761538462
Alex Killorn,Octillery,54.8,224,75,105,75,105,75,45,0.685258964,0.894422311,0.631474104,0.914342629,0.623505976,0.260956175,17.20487805,13.3,-0.5,0.6,0,-0.9,0.650887574,0.956804734,0.346153846,0.75739645,0.463905325,0.10295858
Alex Newhook,Sandshrew,50.7,27,50,75,85,20,30,40,0.28685259,0.555776892,0.762948207,0.019920319,0.057768924,0.187250996,13.95365854,1.9,1.5,-1.9,0,-0.2,0.353846154,0.609467456,0.718343195,0.016568047,0.463905325,0.293491124
Alex Nylander,Farfetch'd,72.8,83,52,65,55,58,62,60,0.322709163,0.446215139,0.356573705,0.418326693,0.434262948,0.446215139,12.31111111,0.5,0.9,0,0,0.1,0.233136095,0.467455621,0.60887574,0.461538462,0.463905325,0.437278107
Alex Ovechkin,Sunflora,22.4,192,75,75,55,105,85,30,0.685258964,0.555776892,0.356573705,0.914342629,0.772908367,0.085657371,20.20410959,10.1,-10.4,4.2,0,-1.6,0.871005917,0.928994083,0.002366864,0.949704142,0.463905325,0.027810651
Alex Pietrangelo,Mew,87.8,151,100,100,100,100,100,100,0.922310757,0.860557769,0.876494024,0.878486056,0.892430279,0.896414343,23.98082192,9.4,2,0.7,1.1,1.8,0.979881657,0.91183432,0.773964497,0.771597633,0.889349112,0.89112426
Alex Romanov,Noctowl,65.7,164,100,50,50,76,96,70,0.922310757,0.249003984,0.28685259,0.663346614,0.864541833,0.573705179,19.45,-2,-2.3,0,3.1,0.6,0.821301775,0.129585799,0.15147929,0.461538462,0.996449704,0.638461538
Alex Tuch,Victreebel,58.5,71,80,105,65,100,60,70,0.747011952,0.894422311,0.503984064,0.878486056,0.410358566,0.573705179,19.1527027,12.7,1.8,3.5,-0.2,1.1,0.796449704,0.949704142,0.750295858,0.926627219,0.241420118,0.782840237
Alex Vlasic,Nidorina,70,30,70,62,67,55,55,56,0.625498008,0.38247012,0.533864542,0.388446215,0.344621514,0.412350598,19.63333333,-1,1,0,-0.1,0.1,0.834319527,0.231360947,0.626627219,0.461538462,0.271597633,0.437278107
Alex Wennberg,Tangela,63.3,114,65,55,115,100,40,60,0.549800797,0.304780876,0.940239044,0.878486056,0.133466135,0.446215139,18.69390244,-0.2,1.6,0.8,-2.7,0.3,0.766863905,0.346745562,0.733727811,0.783431953,0.031952663,0.520710059
Alexei Toropchenko,Kabuto,54.3,140,30,80,90,55,45,55,0.041832669,0.625498008,0.800796813,0.388446215,0.195219124,0.38247012,12.07681159,0.7,2.7,0,-0.1,0.8,0.208284024,0.490532544,0.839053254,0.461538462,0.271597633,0.707692308
Alexis Lafreniere,Dragonair,77.4,148,61,84,65,70,70,70,0.492031873,0.699203187,0.503984064,0.603585657,0.565737052,0.573705179,15.21975309,2.7,-0.1,0.5,0,0.1,0.466272189,0.671005917,0.418343195,0.74556213,0.463905325,0.437278107
Aliaksei Protas,Corsola,72.1,222,55,55,85,65,85,35,0.358565737,0.304780876,0.762948207,0.539840637,0.772908367,0.139442231,11.51724138,-0.6,4.6,0,0.4,-0.7,0.159763314,0.292307692,0.940236686,0.461538462,0.795266272,0.139053254
Anders Bjork,Totodile,63.6,158,50,65,64,44,48,43,0.28685259,0.446215139,0.472111554,0.247011952,0.235059761,0.229083665,13.82857143,1.1,1,0,-0.7,0,0.34556213,0.537869822,0.626627219,0.461538462,0.153254438,0.392307692
Anders Lee,Victreebel,75.7,71,80,105,65,100,60,70,0.747011952,0.894422311,0.503984064,0.878486056,0.410358566,0.573705179,17.22317073,11.2,0.6,0.6,0,0,0.652071006,0.93964497,0.555621302,0.75739645,0.463905325,0.392307692
Andre Burakovsky,Murkrow,56,198,60,85,42,85,42,91,0.446215139,0.729083665,0.175298805,0.752988048,0.15936255,0.822709163,16.55510204,3.7,-3.7,0.4,0,0.6,0.583431953,0.732544379,0.084023669,0.731360947,0.463905325,0.638461538
Andreas Athanasiou,Mankey,52.1,56,40,80,35,35,45,70,0.151394422,0.625498008,0.099601594,0.119521912,0.195219124,0.573705179,16.0037037,3.2,-3.5,-0.9,-0.1,0.1,0.528994083,0.708284024,0.092899408,0.062721893,0.271597633,0.437278107
Andreas Englund,Electrode,41.1,101,60,50,70,80,80,140,0.446215139,0.249003984,0.571713147,0.695219124,0.699203187,1,12.1106383,-2.6,2.6,0,0.2,1.1,0.213017751,0.092307692,0.830177515,0.461538462,0.739053254,0.782840237
Andreas Johnsson,Chikorita,73.4,152,45,49,65,49,65,45,0.217131474,0.221115538,0.503984064,0.306772908,0.488047809,0.260956175,13.46153846,-1.2,0.8,-0.1,0,0.2,0.319526627,0.198816568,0.593491124,0.237869822,0.463905325,0.480473373
Andrei Kuzmenko,Arcanine,50.1,59,90,110,80,100,80,95,0.834661355,0.922310757,0.709163347,0.878486056,0.699203187,0.848605578,16.24197531,19,4.1,3.5,0,1.4,0.546745562,0.989349112,0.918934911,0.926627219,0.463905325,0.830769231
Andrei Svechnikov,Machoke,72.6,67,80,100,70,50,60,45,0.747011952,0.860557769,0.571713147,0.336653386,0.410358566,0.260956175,18.0546875,9.5,1.4,-0.5,0,-0.5,0.721893491,0.915976331,0.701183432,0.119526627,0.463905325,0.18816568
Andrew Agozzino,Nidorina,77.1,30,70,62,67,55,55,56,0.625498008,0.38247012,0.533864542,0.388446215,0.344621514,0.412350598,16.375,0,-0.2,-0.1,0,0,0.566863905,0.390532544,0.398224852,0.237869822,0.463905325,0.392307692
Andrew Cogliano,Qwilfish,54.1,211,65,95,75,55,55,85,0.549800797,0.820717131,0.631474104,0.388446215,0.344621514,0.731075697,12.61772152,2.6,1.9,0,-0.6,0.9,0.256804734,0.66035503,0.762721893,0.461538462,0.168047337,0.732544379
Andrew Copp,Marill,81.7,183,70,20,50,20,50,40,0.625498008,0.029880478,0.28685259,0.019920319,0.272908367,0.187250996,18.15487805,-2.4,-1.9,-2.3,-0.7,-0.4,0.727810651,0.107100592,0.175739645,0.010650888,0.153254438,0.219526627
Andrew Mangiapane,Beedrill,50.5,15,65,80,40,45,80,75,0.549800797,0.625498008,0.153386454,0.274900398,0.699203187,0.625498008,16.8195122,9.1,-2.7,-1.3,1.4,0.5,0.614201183,0.901775148,0.123076923,0.037869822,0.918343195,0.595266272
Andrew Peeke,Furret,39.6,162,85,76,64,45,55,90,0.788844622,0.583665339,0.472111554,0.274900398,0.344621514,0.792828685,21.2475,0,1.2,0,-4.1,2.2,0.917159763,0.390532544,0.666272189,0.461538462,0.007692308,0.932544379
Anthony Beauvillier,Machop,62.1,66,70,80,50,35,35,35,0.625498008,0.625498008,0.28685259,0.119521912,0.091633466,0.139442231,16.26219512,1.5,-3.6,-0.6,-0.4,0,0.547928994,0.572781065,0.089349112,0.104142012,0.192899408,0.392307692
Anthony Cirelli,Girafarig,62.2,203,70,80,65,90,65,85,0.625498008,0.625498008,0.503984064,0.796812749,0.488047809,0.731075697,16.56034483,1.6,0.6,1,-0.3,2.2,0.584615385,0.579881657,0.555621302,0.806508876,0.214792899,0.932544379
Anthony Duclair,Skiploom,70.2,188,55,45,50,45,65,80,0.358565737,0.173306773,0.28685259,0.274900398,0.488047809,0.671314741,14.85,-0.3,-4.3,-0.2,0,0.7,0.436686391,0.326035503,0.068639053,0.18816568,0.463905325,0.681656805
Anthony Mantha,Gligar,73.8,207,65,75,105,35,65,85,0.549800797,0.555776892,0.90438247,0.119521912,0.488047809,0.731075697,14.21940299,2.7,4.5,-0.6,0,1.8,0.375147929,0.671005917,0.933136095,0.104142012,0.463905325,0.89112426
Anthony Richard,Paras,67.9,46,35,70,55,45,55,25,0.081673307,0.501992032,0.356573705,0.274900398,0.344621514,0.051792829,9.961538462,1.1,-0.1,0,0,-0.3,0.063905325,0.537869822,0.418343195,0.461538462,0.463905325,0.253254438
Anton Blidh,Squirtle,70.4,7,44,48,65,50,64,43,0.19123506,0.211155378,0.503984064,0.336653386,0.442231076,0.229083665,6.578571429,-0.2,0.1,0,0,-0.1,0.001183432,0.346745562,0.463313609,0.461538462,0.463905325,0.340828402
Anton Lundell,Marowak,39.6,105,60,80,110,50,80,45,0.446215139,0.625498008,0.920318725,0.336653386,0.699203187,0.260956175,16.37260274,2.2,0.7,-2.1,0.7,-0.3,0.565680473,0.630177515,0.575147929,0.013609467,0.846745562,0.253254438
Anton Stralman,Nidorino,88.7,33,61,72,57,55,55,65,0.492031873,0.523904382,0.390438247,0.388446215,0.344621514,0.5,15.3625,0.5,-0.3,0,-0.1,0,0.478106509,0.467455621,0.378106509,0.461538462,0.271597633,0.392307692
Anze Kopitar,Entei,40.7,244,115,115,85,90,75,100,0.966135458,0.938247012,0.762948207,0.796812749,0.623505976,0.896414343,20.29390244,11.5,1.6,4.1,-0.7,2,0.878106509,0.943195266,0.733727811,0.943195266,0.153254438,0.914792899
Arber Xhekaj,Mareep,65,179,55,40,40,65,45,35,0.358565737,0.12749004,0.153386454,0.539840637,0.195219124,0.139442231,15.27058824,-0.8,-2.8,0.9,-0.2,-1.5,0.472189349,0.258579882,0.118343195,0.79408284,0.241420118,0.038461538
Arnaud Durandeau,Farfetch'd,90.2,83,52,65,55,58,62,60,0.322709163,0.446215139,0.356573705,0.418326693,0.434262948,0.446215139,13,-0.2,0,0,0,0.2,0.285207101,0.346745562,0.441420118,0.461538462,0.463905325,0.480473373
Artem Zub,Exeggcute,38.1,102,60,40,80,60,45,40,0.446215139,0.12749004,0.709163347,0.458167331,0.195219124,0.187250996,20.25283019,-4.2,5.7,0,-1.1,-0.5,0.874556213,0.030177515,0.971597633,0.461538462,0.099408284,0.18816568
Artemi Panarin,Exeggutor,81.4,103,95,95,85,125,65,55,0.890438247,0.820717131,0.762948207,0.980079681,0.488047809,0.38247012,19.60731707,15.2,2.2,4.4,0,-0.3,0.833136095,0.973372781,0.79112426,0.956213018,0.463905325,0.253254438
Arthur Kaliyev,Smoochum,73.8,238,45,30,15,85,65,65,0.217131474,0.061752988,0.017928287,0.752988048,0.488047809,0.5,11.68035714,-1.4,-2.5,4.3,0,0.3,0.176331361,0.184023669,0.132544379,0.953846154,0.463905325,0.520710059
Artturi Lehkonen,Slowking,80.3,199,95,75,80,100,110,30,0.890438247,0.555776892,0.709163347,0.878486056,0.944223108,0.085657371,20.45,3.1,1.2,4.2,2.9,-0.4,0.884023669,0.701775148,0.666272189,0.949704142,0.991715976,0.219526627
Austin Czarnik,Raticate,60.5,20,55,81,60,50,70,97,0.358565737,0.665338645,0.43625498,0.336653386,0.565737052,0.868525896,11.17241379,1.8,0.5,-0.2,0.1,0.7,0.142011834,0.601775148,0.535502959,0.18816568,0.678698225,0.681656805
Austin Strand,Wartortle,66.8,8,59,63,80,65,80,58,0.402390438,0.392430279,0.709163347,0.539840637,0.699203187,0.420318725,12.4,0.4,1.2,0,0,-0.1,0.239053254,0.452071006,0.666272189,0.461538462,0.463905325,0.340828402
Austin Wagner,Farfetch'd,86.7,83,52,65,55,58,62,60,0.322709163,0.446215139,0.356573705,0.418326693,0.434262948,0.446215139,12.14285714,-0.2,-0.9,0,0,0.2,0.217751479,0.346745562,0.279881657,0.461538462,0.463905325,0.480473373
Austin Watson,Squirtle,61.1,7,44,48,65,50,64,43,0.19123506,0.211155378,0.503984064,0.336653386,0.442231076,0.229083665,10.23333333,-2.3,1.2,0,-0.2,-1.1,0.086390533,0.113017751,0.666272189,0.461538462,0.241420118,0.072781065
Auston Matthews,Houndoom,58.2,229,75,90,50,110,80,95,0.685258964,0.770916335,0.28685259,0.938247012,0.699203187,0.848605578,20.27837838,12.5,-1,6.6,0,3.2,0.876923077,0.947928994,0.266272189,0.984615385,0.463905325,0.977514793
Axel Jonsson-Fjallby,Kabuto,87.5,140,30,80,90,55,45,55,0.041832669,0.625498008,0.800796813,0.388446215,0.195219124,0.38247012,10.442,1.9,2.5,0,-0.3,0.3,0.098224852,0.609467456,0.821301775,0.461538462,0.214792899,0.520710059
Barclay Goodrow,Weepinbell,78.6,70,65,90,50,85,45,55,0.549800797,0.770916335,0.28685259,0.752988048,0.195219124,0.38247012,14.17073171,3.9,-2.2,0.2,-0.4,-0.1,0.368047337,0.743195266,0.159763314,0.70295858,0.192899408,0.340828402
Barrett Hayton,Seadra,31.2,117,55,65,95,95,45,85,0.358565737,0.446215139,0.834661355,0.832669323,0.195219124,0.731075697,17.49756098,5.4,2.3,0.5,-3.5,2.5,0.681656805,0.807692308,0.800591716,0.74556213,0.01183432,0.947928994
Beck Malenstyn,Squirtle,75.1,7,44,48,65,50,64,43,0.19123506,0.211155378,0.503984064,0.336653386,0.442231076,0.229083665,9.911111111,-0.6,0.4,0,0,0,0.061538462,0.292307692,0.513017751,0.461538462,0.463905325,0.392307692
Ben Chiarot,Chansey,58.5,113,250,5,5,35,105,50,0.996015936,0.003984064,0.003984064,0.119521912,0.924302789,0.324701195,20.60526316,-3.7,-3,-0.1,1.3,-2.2,0.892307692,0.04556213,0.113017751,0.237869822,0.90887574,0.005325444
Ben Harpur,Psyduck,73.5,54,50,52,48,65,50,55,0.28685259,0.278884462,0.241035857,0.539840637,0.272908367,0.38247012,14.06428571,-2.2,-1.9,0,-0.1,0.4,0.364497041,0.118343195,0.175739645,0.461538462,0.271597633,0.556213018
Ben Hutton,Xatu,81.7,178,65,75,70,95,70,95,0.549800797,0.555776892,0.571713147,0.832669323,0.565737052,0.848605578,15.99354839,1,1.2,0.9,0.1,0.8,0.526627219,0.527218935,0.666272189,0.79408284,0.678698225,0.707692308
Ben Meyers,Kabuto,51.8,140,30,80,90,55,45,55,0.041832669,0.625498008,0.800796813,0.388446215,0.195219124,0.38247012,9.597435897,-0.2,1.6,0,0,0.3,0.049704142,0.346745562,0.733727811,0.461538462,0.463905325,0.520710059
Billy Sweezey,Chinchou,64.6,170,75,38,38,56,56,67,0.685258964,0.107569721,0.131474104,0.414342629,0.384462151,0.529880478,17.11111111,-0.8,-1.5,0,-1,0.2,0.643786982,0.258579882,0.210650888,0.461538462,0.111242604,0.480473373
Blake Coleman,Marowak,59.5,105,60,80,110,50,80,45,0.446215139,0.625498008,0.920318725,0.336653386,0.699203187,0.260956175,15.20487805,1.6,1.7,-0.1,1.6,-1.1,0.465088757,0.579881657,0.742011834,0.237869822,0.936686391,0.072781065
Blake Lizotte,Hitmontop,53.9,237,50,95,95,35,110,70,0.28685259,0.820717131,0.834661355,0.119521912,0.944223108,0.573705179,12.94320988,3.4,2.1,0,1.3,1,0.279289941,0.721301775,0.782248521,0.461538462,0.90887574,0.761538462
Blake Wheeler,Sunflora,66.5,192,75,75,55,105,85,30,0.685258964,0.555776892,0.356573705,0.914342629,0.772908367,0.085657371,17.04444444,-0.4,-1,0.7,0.1,-1.6,0.635502959,0.314201183,0.266272189,0.771597633,0.678698225,0.027810651
Bo Horvat,Victreebel,46.1,71,80,105,65,100,60,70,0.747011952,0.894422311,0.503984064,0.878486056,0.410358566,0.573705179,20.6556962,12.2,0,3.9,-0.6,2.1,0.89704142,0.946153846,0.441420118,0.934911243,0.168047337,0.925443787
Bobby McMann,Farfetch'd,76,83,52,65,55,58,62,60,0.322709163,0.446215139,0.356573705,0.418326693,0.434262948,0.446215139,10.57,-0.2,-0.2,0,0,0,0.10887574,0.346745562,0.398224852,0.461538462,0.463905325,0.392307692
Boone Jenner,Victreebel,50.2,71,80,105,65,100,60,70,0.747011952,0.894422311,0.503984064,0.878486056,0.410358566,0.573705179,20.20735294,4,0.3,2.3,-2.9,0.6,0.872189349,0.74852071,0.493491124,0.878106509,0.026627219,0.638461538
Boris Katchouk,Paras,39.5,46,35,70,55,45,55,25,0.081673307,0.501992032,0.356573705,0.274900398,0.344621514,0.051792829,12.08965517,2.1,-1.5,-0.9,0.2,-0.7,0.209467456,0.622485207,0.210650888,0.062721893,0.739053254,0.139053254
Bowen Byram,Exeggutor,54.2,103,95,95,85,125,65,55,0.890438247,0.820717131,0.762948207,0.980079681,0.488047809,0.38247012,21.87857143,2,1,1.6,-0.3,-0.2,0.938461538,0.615384615,0.626627219,0.84260355,0.214792899,0.293491124
Brad Hunt,Kabuto,63,140,30,80,90,55,45,55,0.041832669,0.625498008,0.800796813,0.388446215,0.195219124,0.38247012,11.21489362,2.8,1.4,0,0,-0.3,0.14556213,0.678106509,0.701183432,0.461538462,0.463905325,0.253254438
Brad Malone,Paras,67.9,46,35,70,55,45,55,25,0.081673307,0.501992032,0.356573705,0.274900398,0.344621514,0.051792829,7.69,0.5,0.1,0,0,-0.4,0.009467456,0.467455621,0.463313609,0.461538462,0.463905325,0.219526627
Brad Marchand,Espeon,75.2,196,65,65,60,130,95,110,0.549800797,0.446215139,0.43625498,0.990039841,0.844621514,0.948207171,18.53424658,0.8,-0.5,4.9,0.3,1.6,0.750295858,0.505325444,0.346153846,0.964497041,0.771005917,0.859171598
Braden Schneider,Persian,76.9,53,65,70,60,65,65,115,0.549800797,0.501992032,0.43625498,0.539840637,0.488047809,0.966135458,15.71358025,0.3,-1.3,0,0,1.9,0.505325444,0.437278107,0.228402367,0.461538462,0.463905325,0.904142012
Brady Skjei,Exeggutor,44.5,103,95,95,85,125,65,55,0.890438247,0.820717131,0.762948207,0.980079681,0.488047809,0.38247012,21.80246914,8.8,4,3.2,-1.4,-0.3,0.936094675,0.893491124,0.915384615,0.917159763,0.071005917,0.253254438
Brady Tkachuk,Beedrill,49.3,15,65,80,40,45,80,75,0.549800797,0.625498008,0.153386454,0.274900398,0.699203187,0.625498008,18.63170732,9.7,-1.8,-0.2,0,0.6,0.759763314,0.918343195,0.186390533,0.18816568,0.463905325,0.638461538
Brandon Carlo,Umbreon,68.8,197,95,65,110,60,130,65,0.890438247,0.446215139,0.920318725,0.458167331,0.980079681,0.5,18.82533333,-1.4,7.7,0,1.7,0.1,0.777514793,0.184023669,0.98816568,0.461538462,0.944970414,0.437278107
Brandon Duhaime,Arbok,51.9,24,60,85,69,65,79,80,0.446215139,0.729083665,0.537848606,0.539840637,0.653386454,0.671314741,10.75686275,3,0.7,0,1.2,0.6,0.118343195,0.692307692,0.575147929,0.461538462,0.899408284,0.638461538
Brandon Hagel,Houndoom,78.2,229,75,90,50,110,80,95,0.685258964,0.770916335,0.28685259,0.938247012,0.699203187,0.848605578,18.64444444,8.5,-1.2,3,1,1.8,0.762130178,0.883431953,0.243195266,0.90887574,0.878698225,0.89112426
Brandon Montour,Victreebel,48.8,71,80,105,65,100,60,70,0.747011952,0.894422311,0.503984064,0.878486056,0.410358566,0.573705179,24.12625,13.7,-2.4,3.4,0,0.5,0.982248521,0.965088757,0.141420118,0.923076923,0.463905325,0.595266272
Brandon Saad,Qwilfish,55.8,211,65,95,75,55,55,85,0.549800797,0.820717131,0.631474104,0.388446215,0.344621514,0.731075697,16.66197183,5.9,-0.2,0,-1.4,0.5,0.597633136,0.827810651,0.398224852,0.461538462,0.071005917,0.595266272
