Player,Pokémon,Sim_Score,#,HP,Attack,Defense,Special,Speed,HP_scale,Attack_scale,Defense_scale,Special_scale,Speed_scale,TOI_GP,xEVO_GAR,xEVD_GAR,xST_GAR,Pens_GAR,TOI_GP_scale,xEVO_GAR_scale,xEVD_GAR_scale,xST_GAR_scale,Pens_GAR_scale
Alex Belzile,Hitmonchan,77.6,107,50,105,79,35,76,0.321192053,0.88410596,0.678807947,0.109271523,0.612582781,12.13225806,4.2,1,-0.6,0.5,0.215384615,0.758579882,0.626627219,0.204733728,0.595266272
Alex Carrier,Venomoth,71.7,49,70,65,60,90,90,0.678807947,0.430463576,0.430463576,0.758278146,0.761589404,17.88837209,-0.1,0.7,0.8,0.5,0.712426036,0.371005917,0.575147929,0.701183432,0.595266272
Alex Chiasson,Magnemite,73.3,81,25,35,70,95,45,0.023178808,0.062913907,0.586092715,0.78807947,0.225165563,12.07,-1.4,0.6,1.9,-0.4,0.20591716,0.184023669,0.555621302,0.837278107,0.219526627
Alex Debrincat,Jynx,63.4,124,65,50,35,95,95,0.602649007,0.231788079,0.089403974,0.78807947,0.82781457,19.00609756,-1.5,-5.5,4.5,3,0.785798817,0.170414201,0.040828402,0.949704142,0.972781065
Alex Edler,Drowzee,77.7,96,60,48,45,90,42,0.476821192,0.19205298,0.185430464,0.758278146,0.185430464,14.784375,-0.4,-0.7,1.4,-0.8,0.430769231,0.314201183,0.315976331,0.778106509,0.120118343
Alex Galchenyuk,Paras,68.1,46,35,70,55,55,25,0.099337748,0.496688742,0.341059603,0.367549669,0.033112583,7.109090909,-0.1,-1,0,-0.4,0.004733728,0.371005917,0.266272189,0.428994083,0.219526627
Alex Goligoski,Seaking,80.8,119,80,92,65,80,68,0.778145695,0.778145695,0.503311258,0.655629139,0.496688742,17.6673913,3.7,0.8,0.3,0,0.695857988,0.732544379,0.593491124,0.600591716,0.392307692
Alex Holtz,Horsea,75.4,116,30,40,70,70,60,0.052980132,0.089403974,0.586092715,0.559602649,0.413907285,10.26842105,-1.8,-0.1,0.5,-0.1,0.087573964,0.14556213,0.418343195,0.646153846,0.340828402
Alex Iafallo,Venusaur,63.7,3,80,82,83,100,80,0.778145695,0.655629139,0.748344371,0.844370861,0.649006623,16.3,1.5,1.1,6.6,0.6,0.555029586,0.572781065,0.644970414,0.978106509,0.638461538
Alex Kerfoot,Seadra,47.6,117,55,65,95,95,85,0.387417219,0.430463576,0.844370861,0.78807947,0.698675497,14.61829268,-3.6,4.9,1.6,1,0.413017751,0.050295858,0.955029586,0.8,0.761538462
Alex Killorn,Weepinbell,58.4,70,65,90,50,85,55,0.602649007,0.754966887,0.264900662,0.715231788,0.337748344,17.20487805,13.3,-0.5,0.6,-0.9,0.650887574,0.956804734,0.346153846,0.662130178,0.10295858
Alex Newhook,Sandshrew,82.3,27,50,75,85,30,40,0.321192053,0.546357616,0.768211921,0.069536424,0.152317881,13.95365854,1.9,1.5,-1.9,-0.2,0.353846154,0.609467456,0.718343195,0.061538462,0.293491124
Alex Nylander,Goldeen,73.7,118,45,67,60,50,63,0.254966887,0.470198675,0.430463576,0.294701987,0.443708609,12.31111111,0.5,0.9,0,0.1,0.233136095,0.467455621,0.60887574,0.428994083,0.437278107
Alex Ovechkin,Weepinbell,23.7,70,65,90,50,85,55,0.602649007,0.754966887,0.264900662,0.715231788,0.337748344,20.20410959,10.1,-10.4,4.2,-1.6,0.871005917,0.928994083,0.002366864,0.941420118,0.027810651
Alex Pietrangelo,Mew,85.1,151,100,100,100,100,100,0.933774834,0.844370861,0.894039735,0.844370861,0.880794702,23.98082192,9.4,2,1.8,1.8,0.979881657,0.91183432,0.773964497,0.826035503,0.89112426
Alex Romanov,Jynx,57.5,124,65,50,35,95,95,0.602649007,0.231788079,0.089403974,0.78807947,0.82781457,19.45,-2,-2.3,3.1,0.6,0.821301775,0.129585799,0.15147929,0.905325444,0.638461538
Alex Tuch,Moltres,84.7,146,90,100,90,125,90,0.864238411,0.844370861,0.804635762,0.970198675,0.761589404,19.1527027,12.7,1.8,3.3,1.1,0.796449704,0.949704142,0.750295858,0.914201183,0.782840237
Alex Vlasic,Nidorina,72.3,30,70,62,67,55,56,0.678807947,0.367549669,0.543046358,0.367549669,0.374172185,19.63333333,-1,1,-0.1,0.1,0.834319527,0.231360947,0.626627219,0.336094675,0.437278107
Alex Wennberg,Nidorina,47.5,30,70,62,67,55,56,0.678807947,0.367549669,0.543046358,0.367549669,0.374172185,18.69390244,-0.2,1.6,-1.9,0.3,0.766863905,0.346745562,0.733727811,0.057988166,0.520710059
Alexei Toropchenko,Kabuto,43,140,30,80,90,45,55,0.052980132,0.602649007,0.804635762,0.221854305,0.337748344,12.07681159,0.7,2.7,-0.1,0.8,0.208284024,0.490532544,0.839053254,0.336094675,0.707692308
Alexis Lafreniere,Dragonair,81.5,148,61,84,65,70,70,0.533112583,0.685430464,0.503311258,0.559602649,0.536423841,15.21975309,2.7,-0.1,0.5,0.1,0.466272189,0.671005917,0.418343195,0.646153846,0.437278107
Aliaksei Protas,Omanyte,69.1,138,35,40,100,90,35,0.099337748,0.089403974,0.894039735,0.758278146,0.105960265,11.51724138,-0.6,4.6,0.4,-0.7,0.159763314,0.292307692,0.940236686,0.626627219,0.139053254
Anders Bjork,Goldeen,68.8,118,45,67,60,50,63,0.254966887,0.470198675,0.430463576,0.294701987,0.443708609,13.82857143,1.1,1,-0.7,0,0.34556213,0.537869822,0.626627219,0.183431953,0.392307692
Anders Lee,Seaking,72,119,80,92,65,80,68,0.778145695,0.778145695,0.503311258,0.655629139,0.496688742,17.22317073,11.2,0.6,0.6,0,0.652071006,0.93964497,0.555621302,0.662130178,0.392307692
Andre Burakovsky,Weepinbell,53.3,70,65,90,50,85,55,0.602649007,0.754966887,0.264900662,0.715231788,0.337748344,16.55510204,3.7,-3.7,0.4,0.6,0.583431953,0.732544379,0.084023669,0.626627219,0.638461538
Andreas Athanasiou,Beedrill,73.3,15,65,80,40,45,75,0.602649007,0.602649007,0.132450331,0.221854305,0.59602649,16.0037037,3.2,-3.5,-1,0.1,0.528994083,0.708284024,0.092899408,0.131952663,0.437278107
Andreas Englund,Mr. Mime,43.6,122,40,45,65,100,90,0.178807947,0.142384106,0.503311258,0.844370861,0.761589404,12.1106383,-2.6,2.6,0.2,1.1,0.213017751,0.092307692,0.830177515,0.573964497,0.782840237
Andreas Johnsson,Wartortle,62.4,8,59,63,80,65,58,0.42384106,0.377483444,0.715231788,0.490066225,0.38410596,13.46153846,-1.2,0.8,-0.1,0.2,0.319526627,0.198816568,0.593491124,0.336094675,0.480473373
Andrei Kuzmenko,Moltres,51.3,146,90,100,90,125,90,0.864238411,0.844370861,0.804635762,0.970198675,0.761589404,16.24197531,19,4.1,3.5,1.4,0.546745562,0.989349112,0.918934911,0.922485207,0.830769231
Andrei Svechnikov,Machoke,81.9,67,80,100,70,50,45,0.778145695,0.844370861,0.586092715,0.294701987,0.225165563,18.0546875,9.5,1.4,-0.5,-0.5,0.721893491,0.915976331,0.701183432,0.220118343,0.18816568
Andrew Agozzino,Nidorino,83.2,33,61,72,57,55,65,0.533112583,0.523178808,0.38410596,0.367549669,0.466887417,16.375,0,-0.2,-0.1,0,0.566863905,0.390532544,0.398224852,0.336094675,0.392307692
Andrew Cogliano,Hitmonchan,63.9,107,50,105,79,35,76,0.321192053,0.88410596,0.678807947,0.109271523,0.612582781,12.61772152,2.6,1.9,-0.6,0.9,0.256804734,0.66035503,0.762721893,0.204733728,0.732544379
Andrew Copp,Venonat,55,48,60,55,50,40,45,0.476821192,0.28807947,0.264900662,0.165562914,0.225165563,18.15487805,-2.4,-1.9,-3,-0.4,0.727810651,0.107100592,0.175739645,0.025443787,0.219526627
Andrew Mangiapane,Primeape,48.9,57,65,105,60,60,95,0.602649007,0.88410596,0.430463576,0.42384106,0.82781457,16.8195122,9.1,-2.7,0.1,0.5,0.614201183,0.901775148,0.123076923,0.49704142,0.595266272
Andrew Peeke,Kangaskhan,36.5,115,105,95,80,40,90,0.947019868,0.804635762,0.715231788,0.165562914,0.761589404,21.2475,0,1.2,-4.1,2.2,0.917159763,0.390532544,0.666272189,0.010650888,0.932544379
Anthony Beauvillier,Beedrill,72.1,15,65,80,40,45,75,0.602649007,0.602649007,0.132450331,0.221854305,0.59602649,16.26219512,1.5,-3.6,-1,0,0.547928994,0.572781065,0.089349112,0.131952663,0.392307692
Anthony Cirelli,Electabuzz,77.5,125,65,83,57,85,105,0.602649007,0.67218543,0.38410596,0.715231788,0.92384106,16.56034483,1.6,0.6,0.7,2.2,0.584615385,0.579881657,0.555621302,0.682840237,0.932544379
Anthony Duclair,Pidgeotto,60.9,17,63,60,55,50,71,0.543046358,0.341059603,0.341059603,0.294701987,0.57615894,14.85,-0.3,-4.3,-0.2,0.7,0.436686391,0.326035503,0.068639053,0.29704142,0.681656805
Anthony Mantha,Kingler,42,99,55,130,115,50,75,0.387417219,0.983443709,0.953642384,0.294701987,0.59602649,14.21940299,2.7,4.5,-0.6,1.8,0.375147929,0.671005917,0.933136095,0.204733728,0.89112426
Anthony Richard,Paras,70.3,46,35,70,55,55,25,0.099337748,0.496688742,0.341059603,0.367549669,0.033112583,9.961538462,1.1,-0.1,0,-0.3,0.063905325,0.537869822,0.418343195,0.428994083,0.253254438
Anton Blidh,Horsea,58.7,116,30,40,70,70,60,0.052980132,0.089403974,0.586092715,0.559602649,0.413907285,6.578571429,-0.2,0.1,0,-0.1,0.001183432,0.346745562,0.463313609,0.428994083,0.340828402
Anton Lundell,Sandshrew,56.9,27,50,75,85,30,40,0.321192053,0.546357616,0.768211921,0.069536424,0.152317881,16.37260274,2.2,0.7,-1.4,-0.3,0.565680473,0.630177515,0.575147929,0.092899408,0.253254438
Anton Stralman,Nidorino,90.1,33,61,72,57,55,65,0.533112583,0.523178808,0.38410596,0.367549669,0.466887417,15.3625,0.5,-0.3,-0.1,0,0.478106509,0.467455621,0.378106509,0.336094675,0.392307692
Anze Kopitar,Mewtwo,83.8,150,106,110,90,154,130,0.960264901,0.92384106,0.804635762,1,0.986754967,20.29390244,11.5,1.6,3.4,2,0.878106509,0.943195266,0.733727811,0.917159763,0.914792899
Arber Xhekaj,Drowzee,78.7,96,60,48,45,90,42,0.476821192,0.19205298,0.185430464,0.758278146,0.185430464,15.27058824,-0.8,-2.8,0.7,-1.5,0.472189349,0.258579882,0.118343195,0.682840237,0.038461538
Arnaud Durandeau,Farfetch'd,82.2,83,52,65,55,58,60,0.357615894,0.430463576,0.341059603,0.397350993,0.413907285,13,-0.2,0,0,0.2,0.285207101,0.346745562,0.441420118,0.428994083,0.480473373
Artem Zub,Lickitung,28.2,108,90,55,75,60,30,0.864238411,0.28807947,0.639072848,0.42384106,0.062913907,20.25283019,-4.2,5.7,-1.1,-0.5,0.874556213,0.030177515,0.971597633,0.120118343,0.18816568
Artemi Panarin,Exeggutor,75.9,103,95,95,85,125,55,0.917218543,0.804635762,0.768211921,0.970198675,0.337748344,19.60731707,15.2,2.2,4.4,-0.3,0.833136095,0.973372781,0.79112426,0.94556213,0.253254438
Arthur Kaliyev,Tentacool,85.4,72,40,40,35,100,70,0.178807947,0.089403974,0.089403974,0.844370861,0.536423841,11.68035714,-1.4,-2.5,4.3,0.3,0.176331361,0.184023669,0.132544379,0.943786982,0.520710059
Artturi Lehkonen,Exeggutor,78.7,103,95,95,85,125,55,0.917218543,0.804635762,0.768211921,0.970198675,0.337748344,20.45,3.1,1.2,7.1,-0.4,0.884023669,0.701775148,0.666272189,0.984023669,0.219526627
Austin Czarnik,Goldeen,60.3,118,45,67,60,50,63,0.254966887,0.470198675,0.430463576,0.294701987,0.443708609,11.17241379,1.8,0.5,-0.1,0.7,0.142011834,0.601775148,0.535502959,0.336094675,0.681656805
Austin Strand,Wartortle,74.5,8,59,63,80,65,58,0.42384106,0.377483444,0.715231788,0.490066225,0.38410596,12.4,0.4,1.2,0,-0.1,0.239053254,0.452071006,0.666272189,0.428994083,0.340828402
Austin Wagner,Farfetch'd,78.9,83,52,65,55,58,60,0.357615894,0.430463576,0.341059603,0.397350993,0.413907285,12.14285714,-0.2,-0.9,0,0.2,0.217751479,0.346745562,0.279881657,0.428994083,0.480473373
Austin Watson,Squirtle,68.3,7,44,48,65,50,43,0.231788079,0.19205298,0.503311258,0.294701987,0.19205298,10.23333333,-2.3,1.2,-0.2,-1.1,0.086390533,0.113017751,0.666272189,0.29704142,0.072781065
Auston Matthews,Magmar,39.7,126,65,95,57,85,93,0.602649007,0.804635762,0.38410596,0.715231788,0.80794702,20.27837838,12.5,-1,6.6,3.2,0.876923077,0.947928994,0.266272189,0.978106509,0.977514793
Axel Jonsson-Fjallby,Kabuto,78.1,140,30,80,90,45,55,0.052980132,0.602649007,0.804635762,0.221854305,0.337748344,10.442,1.9,2.5,-0.3,0.3,0.098224852,0.609467456,0.821301775,0.264497041,0.520710059
Barclay Goodrow,Growlithe,68.6,58,55,70,45,50,60,0.387417219,0.496688742,0.185430464,0.294701987,0.413907285,14.17073171,3.9,-2.2,-0.2,-0.1,0.368047337,0.743195266,0.159763314,0.29704142,0.340828402
Barrett Hayton,Kangaskhan,53.2,115,105,95,80,40,90,0.947019868,0.804635762,0.715231788,0.165562914,0.761589404,17.49756098,5.4,2.3,-3,2.5,0.681656805,0.807692308,0.800591716,0.025443787,0.947928994
Beck Malenstyn,Horsea,69.4,116,30,40,70,70,60,0.052980132,0.089403974,0.586092715,0.559602649,0.413907285,9.911111111,-0.6,0.4,0,0,0.061538462,0.292307692,0.513017751,0.428994083,0.392307692
Ben Chiarot,Chansey,55.2,113,250,5,5,105,50,1,0.006622517,0.006622517,0.890728477,0.284768212,20.60526316,-3.7,-3,1.2,-2.2,0.892307692,0.04556213,0.113017751,0.749112426,0.005325444
Ben Harpur,Psyduck,66.8,54,50,52,48,50,55,0.321192053,0.261589404,0.218543046,0.294701987,0.337748344,14.06428571,-2.2,-1.9,-0.1,0.4,0.364497041,0.118343195,0.175739645,0.336094675,0.556213018
Ben Hutton,Seadra,69.4,117,55,65,95,95,85,0.387417219,0.430463576,0.844370861,0.78807947,0.698675497,15.99354839,1,1.2,1,0.8,0.526627219,0.527218935,0.666272189,0.727218935,0.707692308
Ben Meyers,Horsea,56.5,116,30,40,70,70,60,0.052980132,0.089403974,0.586092715,0.559602649,0.413907285,9.597435897,-0.2,1.6,0,0.3,0.049704142,0.346745562,0.733727811,0.428994083,0.520710059
Billy Sweezey,Pidgeotto,67.9,17,63,60,55,50,71,0.543046358,0.341059603,0.341059603,0.294701987,0.57615894,17.11111111,-0.8,-1.5,-1,0.2,0.643786982,0.258579882,0.210650888,0.131952663,0.480473373
Blake Coleman,Gloom,71.1,44,60,65,70,85,40,0.476821192,0.430463576,0.586092715,0.715231788,0.152317881,15.20487805,1.6,1.7,1.5,-1.1,0.465088757,0.579881657,0.742011834,0.788757396,0.072781065
Blake Lizotte,Seadra,59.1,117,55,65,95,95,85,0.387417219,0.430463576,0.844370861,0.78807947,0.698675497,12.94320988,3.4,2.1,1.3,1,0.279289941,0.721301775,0.782248521,0.767455621,0.761538462
Blake Wheeler,Drowzee,66.3,96,60,48,45,90,42,0.476821192,0.19205298,0.185430464,0.758278146,0.185430464,17.04444444,-0.4,-1,0.8,-1.6,0.635502959,0.314201183,0.266272189,0.695266272,0.027810651
Bo Horvat,Gyarados,54.8,130,95,125,79,100,81,0.917218543,0.963576159,0.678807947,0.844370861,0.675496689,20.6556962,12.2,0,3.3,2.1,0.89704142,0.946153846,0.441420118,0.914201183,0.925443787
Bobby McMann,Goldeen,71.2,118,45,67,60,50,63,0.254966887,0.470198675,0.430463576,0.294701987,0.443708609,10.57,-0.2,-0.2,0,0,0.10887574,0.346745562,0.398224852,0.428994083,0.392307692
Boone Jenner,Kangaskhan,66.7,115,105,95,80,40,90,0.947019868,0.804635762,0.715231788,0.165562914,0.761589404,20.20735294,4,0.3,-0.6,0.6,0.872189349,0.74852071,0.493491124,0.195266272,0.638461538
Boris Katchouk,Dratini,62.6,147,41,64,45,50,50,0.225165563,0.387417219,0.185430464,0.294701987,0.284768212,12.08965517,2.1,-1.5,-0.7,-0.7,0.209467456,0.622485207,0.210650888,0.183431953,0.139053254
Bowen Byram,Clefable,80.4,36,95,70,73,85,60,0.917218543,0.496688742,0.622516556,0.715231788,0.413907285,21.87857143,2,1,1.3,-0.2,0.938461538,0.615384615,0.626627219,0.767455621,0.293491124
Brad Hunt,Kabuto,66.4,140,30,80,90,45,55,0.052980132,0.602649007,0.804635762,0.221854305,0.337748344,11.21489362,2.8,1.4,0,-0.3,0.14556213,0.678106509,0.701183432,0.428994083,0.253254438
Brad Malone,Paras,69.9,46,35,70,55,55,25,0.099337748,0.496688742,0.341059603,0.367549669,0.033112583,7.69,0.5,0.1,0,-0.4,0.009467456,0.467455621,0.463313609,0.428994083,0.219526627
Brad Marchand,Tentacruel,82.8,73,80,70,65,120,100,0.778145695,0.496688742,0.503311258,0.947019868,0.880794702,18.53424658,0.8,-0.5,5.2,1.6,0.750295858,0.505325444,0.346153846,0.963313609,0.859171598
Braden Schneider,Persian,70.5,53,65,70,60,65,115,0.602649007,0.496688742,0.430463576,0.490066225,0.956953642,15.71358025,0.3,-1.3,0,1.9,0.505325444,0.437278107,0.228402367,0.428994083,0.904142012
Brady Skjei,Exeggutor,71.7,103,95,95,85,125,55,0.917218543,0.804635762,0.768211921,0.970198675,0.337748344,21.80246914,8.8,4,1.8,-0.3,0.936094675,0.893491124,0.915384615,0.830769231,0.253254438
Brady Tkachuk,Beedrill,52.7,15,65,80,40,45,75,0.602649007,0.602649007,0.132450331,0.221854305,0.59602649,18.63170732,9.7,-1.8,-0.2,0.6,0.759763314,0.918343195,0.186390533,0.29704142,0.638461538
Brandon Carlo,Tangela,75.8,114,65,55,115,100,60,0.602649007,0.28807947,0.953642384,0.844370861,0.413907285,18.82533333,-1.4,7.7,1.7,0.1,0.777514793,0.184023669,0.98816568,0.815976331,0.437278107
Brandon Duhaime,Ponyta,44.5,77,50,85,55,65,90,0.321192053,0.715231788,0.341059603,0.490066225,0.761589404,10.75686275,3,0.7,1.2,0.6,0.118343195,0.692307692,0.575147929,0.749112426,0.638461538
Brandon Hagel,Magmar,58.4,126,65,95,57,85,93,0.602649007,0.804635762,0.38410596,0.715231788,0.80794702,18.64444444,8.5,-1.2,4,1.8,0.762130178,0.883431953,0.243195266,0.937869822,0.89112426
Brandon Montour,Victreebel,42.9,71,80,105,65,100,70,0.778145695,0.88410596,0.503311258,0.844370861,0.536423841,24.12625,13.7,-2.4,3.4,0.5,0.982248521,0.965088757,0.141420118,0.919526627,0.595266272
Brandon Saad,Hitmonlee,56.3,106,50,120,53,35,87,0.321192053,0.953642384,0.304635762,0.109271523,0.721854305,16.66197183,5.9,-0.2,-1.4,0.5,0.597633136,0.827810651,0.398224852,0.09704142,0.595266272
Brandon Tanev,Electrode,32.2,101,60,50,70,80,140,0.476821192,0.231788079,0.586092715,0.655629139,1,14.22195122,-1,5.4,-0.1,2.5,0.377514793,0.231360947,0.963313609,0.336094675,0.947928994
Brandt Clarke,Farfetch'd,72.7,83,52,65,55,58,60,0.357615894,0.430463576,0.341059603,0.397350993,0.413907285,13.64444444,1.3,0.2,0.1,0,0.334911243,0.559763314,0.479289941,0.526035503,0.392307692
Brayden McNabb,Poliwhirl,5.3,61,65,65,65,50,90,0.602649007,0.430463576,0.503311258,0.294701987,0.761589404,19.84390244,-3.4,8.6,-1.3,1,0.84852071,0.059171598,0.994674556,0.104142012,0.761538462
Brayden Pachal,Porygon,93.8,137,65,60,70,75,40,0.602649007,0.341059603,0.586092715,0.609271523,0.152317881,16.62,0,0.5,0.2,-0.5,0.595266272,0.390532544,0.535502959,0.573964497,0.18816568
Brayden Point,Magmar,34,126,65,95,57,85,93,0.602649007,0.804635762,0.38410596,0.715231788,0.80794702,19.6695122,20.2,-2,11,3.3,0.836686391,0.990532544,0.169822485,0.997633136,0.978698225
Brayden Schenn,Weepinbell,47.1,70,65,90,50,85,55,0.602649007,0.754966887,0.264900662,0.715231788,0.337748344,18.42804878,2.1,-4,0.8,0.6,0.73964497,0.622485207,0.072189349,0.701183432,0.638461538
Brendan Gallagher,Sandshrew,88.9,27,50,75,85,30,40,0.321192053,0.546357616,0.768211921,0.069536424,0.152317881,14.28108108,1.3,2,-1.8,-0.3,0.385798817,0.559763314,0.773964497,0.067455621,0.253254438
Brendan Gaunce,Dratini,69.1,147,41,64,45,50,50,0.225165563,0.387417219,0.185430464,0.294701987,0.284768212,10.46,-0.2,-0.4,0,-0.2,0.101775148,0.346745562,0.359763314,0.428994083,0.293491124
Brendan Lemieux,Oddish,64.3,43,45,50,55,75,30,0.254966887,0.231788079,0.341059603,0.609271523,0.062913907,10.18222222,-1.5,0.6,0.2,-1.8,0.081656805,0.170414201,0.555621302,0.573964497,0.017751479
Brendan Smith,Exeggcute,76.5,102,60,40,80,60,40,0.476821192,0.089403974,0.715231788,0.42384106,0.152317881,15.55333333,-1.8,2.3,0.3,-0.7,0.487573964,0.14556213,0.800591716,0.600591716,0.139053254
Brenden Dillon,Marowak,30.3,105,60,80,110,50,45,0.476821192,0.602649007,0.933774834,0.294701987,0.225165563,19.58780488,0,8.8,-1.7,0.1,0.831952663,0.390532544,0.997633136,0.072189349,0.437278107
Brent Burns,Exeggutor,76.7,103,95,95,85,125,55,0.917218543,0.804635762,0.768211921,0.970198675,0.337748344,23.22073171,16.2,1.4,3.9,0,0.965680473,0.978698225,0.701183432,0.933727811,0.392307692
Brett Howden,Squirtle,73.1,7,44,48,65,50,43,0.231788079,0.19205298,0.503311258,0.294701987,0.19205298,13.05925926,-3.6,0.3,0,-1,0.288757396,0.050295858,0.493491124,0.428994083,0.088757396
Brett Kulak,Butterfree,71.3,12,60,45,50,80,70,0.476821192,0.142384106,0.264900662,0.655629139,0.536423841,17.5097561,-2.2,-1.7,0.2,0.3,0.682840237,0.118343195,0.195266272,0.556213018,0.520710059
Brett Leason,Charmander,86.8,4,39,52,43,50,65,0.132450331,0.261589404,0.152317881,0.294701987,0.466887417,10.89259259,-1.2,-5.5,-0.1,0.2,0.128994083,0.198816568,0.040828402,0.336094675,0.480473373
Brett Pesce,Persian,55.3,53,65,70,60,65,115,0.602649007,0.496688742,0.430463576,0.490066225,0.956953642,22.00487805,0.3,-0.2,0.1,2.7,0.94556213,0.437278107,0.398224852,0.5,0.960946746
Brett Ritchie,Kabuto,47.4,140,30,80,90,45,55,0.052980132,0.602649007,0.804635762,0.221854305,0.337748344,10.05,4.4,1.9,0,0.6,0.072189349,0.767455621,0.762721893,0.428994083,0.638461538
