Player,Pokémon,Sim_Score,#,HP,Attack,Defense,Sp. Attack,Sp. Defense,Speed,HP_scale,Attack_scale,Defense_scale,Sp. Attack_scale,Sp. Defense_scale,Speed_scale,TOI_GP,xEVO_GAR,xEVD_GAR,xPPO_GAR,xSHD_GAR,Pens_GAR,TOI_GP_scale,xEVO_GAR_scale,xEVD_GAR_scale,xPPO_GAR_scale,xSHD_GAR_scale,Pens_GAR_scale
Alex Pietrangelo,Mew,85.5,151,100,100,100,100,100,100,0.92159383,0.848329049,0.87403599,0.877892031,0.890745501,0.903598972,23.98082192,9.4,2,0.7,1.1,1.8,0.979881657,0.91183432,0.773964497,0.771597633,0.889349112,0.89112426
Alex Romanov,Noctowl,64.4,164,100,50,50,76,96,70,0.92159383,0.251928021,0.290488432,0.66066838,0.868894602,0.606683805,19.45,-2,-2.3,0,3.1,0.6,0.821301775,0.129585799,0.15147929,0.461538462,0.996449704,0.638461538
Alex Tuch,Victreebel,58.7,71,80,105,65,100,60,70,0.764781491,0.883033419,0.516709512,0.877892031,0.429305913,0.606683805,19.1527027,12.7,1.8,3.5,-0.2,1.1,0.796449704,0.949704142,0.750295858,0.926627219,0.241420118,0.782840237
Alex Vlasic,Nidorina,68.2,30,70,62,67,55,55,56,0.633676093,0.385604113,0.544987147,0.377892031,0.357326478,0.43059126,19.63333333,-1,1,0,-0.1,0.1,0.834319527,0.231360947,0.626627219,0.461538462,0.271597633,0.437278107
Alex Wennberg,Tangela,62,114,65,55,115,100,40,60,0.551413882,0.304627249,0.933161954,0.877892031,0.145244216,0.466580977,18.69390244,-0.2,1.6,0.8,-2.7,0.3,0.766863905,0.346745562,0.733727811,0.783431953,0.031952663,0.520710059
Alexei Toropchenko,Kabuto,54.5,140,30,80,90,55,45,55,0.039845758,0.620822622,0.800771208,0.377892031,0.20437018,0.403598972,12.07681159,0.7,2.7,0,-0.1,0.8,0.208284024,0.490532544,0.839053254,0.461538462,0.271597633,0.707692308
Alexis Lafreniere,Combusken,100,256,60,85,60,85,60,55,0.44344473,0.708226221,0.438303342,0.741645244,0.429305913,0.403598972,15.21975309,2.7,-0.1,0.5,0,0.1,0.466272189,0.671005917,0.418343195,0.74556213,0.463905325,0.437278107
Aliaksei Protas,Nosepass,71.2,299,30,45,135,45,90,30,0.039845758,0.179948586,0.966580977,0.254498715,0.823907455,0.096401028,11.51724138,-0.6,4.6,0,0.4,-0.7,0.159763314,0.292307692,0.940236686,0.461538462,0.795266272,0.139053254
Anders Bjork,Mawile,64.2,303,50,85,85,55,55,50,0.287917738,0.708226221,0.759640103,0.377892031,0.357326478,0.33033419,13.82857143,1.1,1,0,-0.7,0,0.34556213,0.537869822,0.626627219,0.461538462,0.153254438,0.392307692
Anders Lee,Banette,80.3,354,64,115,65,83,63,65,0.510282776,0.920308483,0.516709512,0.713367609,0.470437018,0.529562982,17.22317073,11.2,0.6,0.6,0,0,0.652071006,0.93964497,0.555621302,0.75739645,0.463905325,0.392307692
Andre Burakovsky,Murkrow,54.4,198,60,85,42,85,42,91,0.44344473,0.708226221,0.179948586,0.741645244,0.174807198,0.834190231,16.55510204,3.7,-3.7,0.4,0,0.6,0.583431953,0.732544379,0.084023669,0.731360947,0.463905325,0.638461538
Andreas Athanasiou,Machop,50.7,66,70,80,50,35,35,35,0.633676093,0.620822622,0.290488432,0.116966581,0.104113111,0.14781491,16.0037037,3.2,-3.5,-0.9,-0.1,0.1,0.528994083,0.708284024,0.092899408,0.062721893,0.271597633,0.437278107
Andreas Englund,Medicham,50.1,308,60,60,75,60,75,80,0.44344473,0.356041131,0.638817481,0.447300771,0.641388175,0.700514139,12.1106383,-2.6,2.6,0,0.2,1.1,0.213017751,0.092307692,0.830177515,0.461538462,0.739053254,0.782840237
Andreas Johnsson,Chikorita,71.7,152,45,49,65,49,65,45,0.210796915,0.224935733,0.516709512,0.285347044,0.51285347,0.26092545,13.46153846,-1.2,0.8,-0.1,0,0.2,0.319526627,0.198816568,0.593491124,0.237869822,0.463905325,0.480473373
Andrei Kuzmenko,Blaziken,47,257,80,120,70,110,70,80,0.764781491,0.935732648,0.582262211,0.935732648,0.580976864,0.700514139,16.24197531,19,4.1,3.5,0,1.4,0.546745562,0.989349112,0.918934911,0.926627219,0.463905325,0.830769231
Andrei Svechnikov,Machoke,73,67,80,100,70,50,60,45,0.764781491,0.848329049,0.582262211,0.318766067,0.429305913,0.26092545,18.0546875,9.5,1.4,-0.5,0,-0.5,0.721893491,0.915976331,0.701183432,0.119526627,0.463905325,0.18816568
Andrew Agozzino,Nidorina,75.3,30,70,62,67,55,55,56,0.633676093,0.385604113,0.544987147,0.377892031,0.357326478,0.43059126,16.375,0,-0.2,-0.1,0,0,0.566863905,0.390532544,0.398224852,0.237869822,0.463905325,0.392307692
Andrew Cogliano,Kabuto,51.7,140,30,80,90,55,45,55,0.039845758,0.620822622,0.800771208,0.377892031,0.20437018,0.403598972,12.61772152,2.6,1.9,0,-0.6,0.9,0.256804734,0.66035503,0.762721893,0.461538462,0.168047337,0.732544379
Andrew Copp,Marill,79.5,183,70,20,50,20,50,40,0.633676093,0.023136247,0.290488432,0.019280206,0.277634961,0.195372751,18.15487805,-2.4,-1.9,-2.3,-0.7,-0.4,0.727810651,0.107100592,0.175739645,0.010650888,0.153254438,0.219526627
Andrew Mangiapane,Beedrill,49.8,15,65,80,40,45,80,75,0.551413882,0.620822622,0.152956298,0.254498715,0.710796915,0.656812339,16.8195122,9.1,-2.7,-1.3,1.4,0.5,0.614201183,0.901775148,0.123076923,0.037869822,0.918343195,0.595266272
Andrew Peeke,Vigoroth,42.6,288,80,80,80,55,55,90,0.764781491,0.620822622,0.705655527,0.377892031,0.357326478,0.80848329,21.2475,0,1.2,0,-4.1,2.2,0.917159763,0.390532544,0.666272189,0.461538462,0.007692308,0.932544379
Anthony Beauvillier,Machop,60.9,66,70,80,50,35,35,35,0.633676093,0.620822622,0.290488432,0.116966581,0.104113111,0.14781491,16.26219512,1.5,-3.6,-0.6,-0.4,0,0.547928994,0.572781065,0.089349112,0.104142012,0.192899408,0.392307692
Anthony Cirelli,Manectric,71,310,70,75,60,105,60,105,0.633676093,0.559125964,0.438303342,0.912596401,0.429305913,0.933161954,16.56034483,1.6,0.6,1,-0.3,2.2,0.584615385,0.579881657,0.555621302,0.806508876,0.214792899,0.932544379
Anthony Duclair,Skiploom,68.6,188,55,45,50,45,65,80,0.359897172,0.179948586,0.290488432,0.254498715,0.51285347,0.700514139,14.85,-0.3,-4.3,-0.2,0,0.7,0.436686391,0.326035503,0.068639053,0.18816568,0.463905325,0.681656805
Anthony Mantha,Gligar,73.5,207,65,75,105,35,65,85,0.551413882,0.559125964,0.906169666,0.116966581,0.51285347,0.757069409,14.21940299,2.7,4.5,-0.6,0,1.8,0.375147929,0.671005917,0.933136095,0.104142012,0.463905325,0.89112426
Anthony Richard,Paras,65.3,46,35,70,55,45,55,25,0.073264781,0.492287918,0.359897172,0.254498715,0.357326478,0.059125964,9.961538462,1.1,-0.1,0,0,-0.3,0.063905325,0.537869822,0.418343195,0.461538462,0.463905325,0.253254438
Anton Blidh,Squirtle,68.3,7,44,48,65,50,64,43,0.183804627,0.21722365,0.516709512,0.318766067,0.475578406,0.233933162,6.578571429,-0.2,0.1,0,0,-0.1,0.001183432,0.346745562,0.463313609,0.461538462,0.463905325,0.340828402
Anton Lundell,Kecleon,40.8,352,60,90,70,60,120,40,0.44344473,0.755784062,0.582262211,0.447300771,0.960154242,0.195372751,16.37260274,2.2,0.7,-2.1,0.7,-0.3,0.565680473,0.630177515,0.575147929,0.013609467,0.846745562,0.253254438
Anton Stralman,Nidorino,82.3,33,61,72,57,55,55,65,0.498714653,0.525706941,0.390745501,0.377892031,0.357326478,0.529562982,15.3625,0.5,-0.3,0,-0.1,0,0.478106509,0.467455621,0.378106509,0.461538462,0.271597633,0.392307692
Anze Kopitar,Slaking,50,289,150,160,100,95,65,100,0.98714653,0.997429306,0.87403599,0.831619537,0.51285347,0.903598972,20.29390244,11.5,1.6,4.1,-0.7,2,0.878106509,0.943195266,0.733727811,0.943195266,0.153254438,0.914792899
Arber Xhekaj,Numel,65.8,322,60,60,40,65,45,35,0.44344473,0.356041131,0.152956298,0.528277635,0.20437018,0.14781491,15.27058824,-0.8,-2.8,0.9,-0.2,-1.5,0.472189349,0.258579882,0.118343195,0.79408284,0.241420118,0.038461538
Arnaud Durandeau,Farfetch'd,89.7,83,52,65,55,58,62,60,0.334190231,0.433161954,0.359897172,0.406169666,0.46529563,0.466580977,13,-0.2,0,0,0,0.2,0.285207101,0.346745562,0.441420118,0.461538462,0.463905325,0.480473373
Artem Zub,Exeggcute,34.9,102,60,40,80,60,45,40,0.44344473,0.12596401,0.705655527,0.447300771,0.20437018,0.195372751,20.25283019,-4.2,5.7,0,-1.1,-0.5,0.874556213,0.030177515,0.971597633,0.461538462,0.099408284,0.18816568
Artemi Panarin,Exeggutor,75.8,103,95,95,85,125,65,55,0.88688946,0.807197943,0.759640103,0.973007712,0.51285347,0.403598972,19.60731707,15.2,2.2,4.4,0,-0.3,0.833136095,0.973372781,0.79112426,0.956213018,0.463905325,0.253254438
Arthur Kaliyev,Smoochum,69.7,238,45,30,15,85,65,65,0.210796915,0.059125964,0.011568123,0.741645244,0.51285347,0.529562982,11.68035714,-1.4,-2.5,4.3,0,0.3,0.176331361,0.184023669,0.132544379,0.953846154,0.463905325,0.520710059
Artturi Lehkonen,Slowking,79.4,199,95,75,80,100,110,30,0.88688946,0.559125964,0.705655527,0.877892031,0.935732648,0.096401028,20.45,3.1,1.2,4.2,2.9,-0.4,0.884023669,0.701775148,0.666272189,0.949704142,0.991715976,0.219526627
Austin Czarnik,Raticate,59.5,20,55,81,60,50,70,97,0.359897172,0.654241645,0.438303342,0.318766067,0.580976864,0.877892031,11.17241379,1.8,0.5,-0.2,0.1,0.7,0.142011834,0.601775148,0.535502959,0.18816568,0.678698225,0.681656805
Austin Strand,Sableye,88.8,302,50,75,75,65,65,50,0.287917738,0.559125964,0.638817481,0.528277635,0.51285347,0.33033419,12.4,0.4,1.2,0,0,-0.1,0.239053254,0.452071006,0.666272189,0.461538462,0.463905325,0.340828402
Austin Wagner,Farfetch'd,84.8,83,52,65,55,58,62,60,0.334190231,0.433161954,0.359897172,0.406169666,0.46529563,0.466580977,12.14285714,-0.2,-0.9,0,0,0.2,0.217751479,0.346745562,0.279881657,0.461538462,0.463905325,0.480473373
Austin Watson,Clamperl,57.2,366,35,64,85,74,55,32,0.073264781,0.401028278,0.759640103,0.629820051,0.357326478,0.123393316,10.23333333,-2.3,1.2,0,-0.2,-1.1,0.086390533,0.113017751,0.666272189,0.461538462,0.241420118,0.072781065
Auston Matthews,Houndoom,55.5,229,75,90,50,110,80,95,0.70437018,0.755784062,0.290488432,0.935732648,0.710796915,0.857326478,20.27837838,12.5,-1,6.6,0,3.2,0.876923077,0.947928994,0.266272189,0.984615385,0.463905325,0.977514793
Axel Jonsson-Fjallby,Kabuto,87.3,140,30,80,90,55,45,55,0.039845758,0.620822622,0.800771208,0.377892031,0.20437018,0.403598972,10.442,1.9,2.5,0,-0.3,0.3,0.098224852,0.609467456,0.821301775,0.461538462,0.214792899,0.520710059
Barclay Goodrow,Cacnea,78.3,331,50,85,40,85,40,35,0.287917738,0.708226221,0.152956298,0.741645244,0.145244216,0.14781491,14.17073171,3.9,-2.2,0.2,-0.4,-0.1,0.368047337,0.743195266,0.159763314,0.70295858,0.192899408,0.340828402
Barrett Hayton,Vigoroth,28.7,288,80,80,80,55,55,90,0.764781491,0.620822622,0.705655527,0.377892031,0.357326478,0.80848329,17.49756098,5.4,2.3,0.5,-3.5,2.5,0.681656805,0.807692308,0.800591716,0.74556213,0.01183432,0.947928994
Beck Malenstyn,Squirtle,73.1,7,44,48,65,50,64,43,0.183804627,0.21722365,0.516709512,0.318766067,0.475578406,0.233933162,9.911111111,-0.6,0.4,0,0,0,0.061538462,0.292307692,0.513017751,0.461538462,0.463905325,0.392307692
Ben Chiarot,Chansey,55.5,113,250,5,5,35,105,50,0.997429306,0.002570694,0.002570694,0.116966581,0.916452442,0.33033419,20.60526316,-3.7,-3,-0.1,1.3,-2.2,0.892307692,0.04556213,0.113017751,0.237869822,0.90887574,0.005325444
Ben Harpur,Psyduck,73.2,54,50,52,48,65,50,55,0.287917738,0.28277635,0.246786632,0.528277635,0.277634961,0.403598972,14.06428571,-2.2,-1.9,0,-0.1,0.4,0.364497041,0.118343195,0.175739645,0.461538462,0.271597633,0.556213018
Ben Hutton,Xatu,80.5,178,65,75,70,95,70,95,0.551413882,0.559125964,0.582262211,0.831619537,0.580976864,0.857326478,15.99354839,1,1.2,0.9,0.1,0.8,0.526627219,0.527218935,0.666272189,0.79408284,0.678698225,0.707692308
Ben Meyers,Sableye,53.9,302,50,75,75,65,65,50,0.287917738,0.559125964,0.638817481,0.528277635,0.51285347,0.33033419,9.597435897,-0.2,1.6,0,0,0.3,0.049704142,0.346745562,0.733727811,0.461538462,0.463905325,0.520710059
Billy Sweezey,Nuzleaf,75,274,70,70,40,60,40,60,0.633676093,0.492287918,0.152956298,0.447300771,0.145244216,0.466580977,17.11111111,-0.8,-1.5,0,-1,0.2,0.643786982,0.258579882,0.210650888,0.461538462,0.111242604,0.480473373
Blake Coleman,Kecleon,61.2,352,60,90,70,60,120,40,0.44344473,0.755784062,0.582262211,0.447300771,0.960154242,0.195372751,15.20487805,1.6,1.7,-0.1,1.6,-1.1,0.465088757,0.579881657,0.742011834,0.237869822,0.936686391,0.072781065
Blake Lizotte,Deoxys (Defense Forme),60.6,386D,50,70,160,70,160,90,0.287917738,0.492287918,0.985861183,0.587403599,0.994858612,0.80848329,12.94320988,3.4,2.1,0,1.3,1,0.279289941,0.721301775,0.782248521,0.461538462,0.90887574,0.761538462
Blake Wheeler,Sunflora,63,192,75,75,55,105,85,30,0.70437018,0.559125964,0.359897172,0.912596401,0.777634961,0.096401028,17.04444444,-0.4,-1,0.7,0.1,-1.6,0.635502959,0.314201183,0.266272189,0.771597633,0.678698225,0.027810651
Bo Horvat,Shiftry,54,275,90,100,60,90,60,80,0.844473008,0.848329049,0.438303342,0.786632391,0.429305913,0.700514139,20.6556962,12.2,0,3.9,-0.6,2.1,0.89704142,0.946153846,0.441420118,0.934911243,0.168047337,0.925443787
Bobby McMann,Farfetch'd,72.5,83,52,65,55,58,62,60,0.334190231,0.433161954,0.359897172,0.406169666,0.46529563,0.466580977,10.57,-0.2,-0.2,0,0,0,0.10887574,0.346745562,0.398224852,0.461538462,0.463905325,0.392307692
Boone Jenner,Wailord,52.8,321,170,90,45,90,45,60,0.992287918,0.755784062,0.21722365,0.786632391,0.20437018,0.466580977,20.20735294,4,0.3,2.3,-2.9,0.6,0.872189349,0.74852071,0.493491124,0.878106509,0.026627219,0.638461538
Boris Katchouk,Paras,39.1,46,35,70,55,45,55,25,0.073264781,0.492287918,0.359897172,0.254498715,0.357326478,0.059125964,12.08965517,2.1,-1.5,-0.9,0.2,-0.7,0.209467456,0.622485207,0.210650888,0.062721893,0.739053254,0.139053254
Bowen Byram,Exeggutor,50.2,103,95,95,85,125,65,55,0.88688946,0.807197943,0.759640103,0.973007712,0.51285347,0.403598972,21.87857143,2,1,1.6,-0.3,-0.2,0.938461538,0.615384615,0.626627219,0.84260355,0.214792899,0.293491124
Brad Hunt,Mawile,78.3,303,50,85,85,55,55,50,0.287917738,0.708226221,0.759640103,0.377892031,0.357326478,0.33033419,11.21489362,2.8,1.4,0,0,-0.3,0.14556213,0.678106509,0.701183432,0.461538462,0.463905325,0.253254438
Brad Malone,Paras,65.8,46,35,70,55,45,55,25,0.073264781,0.492287918,0.359897172,0.254498715,0.357326478,0.059125964,7.69,0.5,0.1,0,0,-0.4,0.009467456,0.467455621,0.463313609,0.461538462,0.463905325,0.219526627
Brad Marchand,Espeon,72.4,196,65,65,60,130,95,110,0.551413882,0.433161954,0.438303342,0.982005141,0.856041131,0.948586118,18.53424658,0.8,-0.5,4.9,0.3,1.6,0.750295858,0.505325444,0.346153846,0.964497041,0.771005917,0.859171598
Braden Schneider,Persian,75,53,65,70,60,65,65,115,0.551413882,0.492287918,0.438303342,0.528277635,0.51285347,0.962724936,15.71358025,0.3,-1.3,0,0,1.9,0.505325444,0.437278107,0.228402367,0.461538462,0.463905325,0.904142012
Brady Skjei,Exeggutor,37.9,103,95,95,85,125,65,55,0.88688946,0.807197943,0.759640103,0.973007712,0.51285347,0.403598972,21.80246914,8.8,4,3.2,-1.4,-0.3,0.936094675,0.893491124,0.915384615,0.917159763,0.071005917,0.253254438
Brady Tkachuk,Zangoose,51.6,335,73,115,60,60,60,90,0.679948586,0.920308483,0.438303342,0.447300771,0.429305913,0.80848329,18.63170732,9.7,-1.8,-0.2,0,0.6,0.759763314,0.918343195,0.186390533,0.18816568,0.463905325,0.638461538
Brandon Carlo,Umbreon,67.5,197,95,65,110,60,130,65,0.88688946,0.433161954,0.920308483,0.447300771,0.974293059,0.529562982,18.82533333,-1.4,7.7,0,1.7,0.1,0.777514793,0.184023669,0.98816568,0.461538462,0.944970414,0.437278107
Brandon Duhaime,Arbok,51.6,24,60,85,69,65,79,80,0.44344473,0.708226221,0.547557841,0.528277635,0.670951157,0.700514139,10.75686275,3,0.7,0,1.2,0.6,0.118343195,0.692307692,0.575147929,0.461538462,0.899408284,0.638461538
Brandon Hagel,Houndoom,77.3,229,75,90,50,110,80,95,0.70437018,0.755784062,0.290488432,0.935732648,0.710796915,0.857326478,18.64444444,8.5,-1.2,3,1,1.8,0.762130178,0.883431953,0.243195266,0.90887574,0.878698225,0.89112426
Brandon Montour,Shiftry,54.3,275,90,100,60,90,60,80,0.844473008,0.848329049,0.438303342,0.786632391,0.429305913,0.700514139,24.12625,13.7,-2.4,3.4,0,0.5,0.982248521,0.965088757,0.141420118,0.923076923,0.463905325,0.595266272
Brandon Saad,Weepinbell,54.3,70,65,90,50,85,45,55,0.551413882,0.755784062,0.290488432,0.741645244,0.20437018,0.403598972,16.66197183,5.9,-0.2,0,-1.4,0.5,0.597633136,0.827810651,0.398224852,0.461538462,0.071005917,0.595266272
